site_id,longitude,latitude,year,country,class_id,class_name,role,split,block_id,fold_id,qc_keep,qc_flag,w_rel
P_245,61.65,45.7841,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_246,61.6499,45.7889,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_247,61.6608,45.786,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_248,61.6619,45.7837,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_249,61.6618,45.7861,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_250,61.6578,45.7802,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_251,61.656,45.7864,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_252,61.6488,45.781,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_253,61.8558,45.7942,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_254,61.8559,45.7982,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_255,61.8607,45.7982,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_256,61.8561,45.8014,2017.0,UZB,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_257,61.861,45.8014,2017.0,UZB,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_258,61.8668,45.8015,2017.0,UZB,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_259,61.8615,45.794,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_260,61.8669,45.7939,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_261,61.867,45.7978,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_262,61.8766,45.6662,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_263,61.8717,45.6642,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_264,61.8735,45.6615,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_265,61.8673,45.6628,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_266,61.869,45.6601,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_267,61.8712,45.6572,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_268,61.8756,45.6587,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_269,61.8806,45.6604,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_270,61.8788,45.6632,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_271,62.1285,45.7799,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_272,62.1239887,45.7842672,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_273,62.1204,45.7876,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_274,62.1243,45.7904,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_275,62.1286,45.7877,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_276,62.1339,45.7842,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_277,62.139414,45.7886243,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_278,62.1347,45.7921,2017.0,KAZ,1.0,Cropland,exact_year,test,59_52,-1.0,True,,1.0
P_279,62.1302,45.7951,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_280,64.1341,45.2501,2017.0,KAZ,3.0,Grassland,exact_year,traindev,61_52,4.0,True,,1.0
P_281,64.1369,45.2466,2017.0,KAZ,3.0,Grassland,exact_year,traindev,61_52,4.0,True,,1.0
P_282,64.1421,45.249,2017.0,KAZ,3.0,Grassland,exact_year,traindev,61_52,4.0,True,,1.0
P_283,64.1394,45.2433,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_284,64.1443,45.2449,2017.0,KAZ,1.0,Cropland,exact_year,traindev,61_52,4.0,True,,1.0
P_285,64.1474,45.2462,2017.0,KAZ,1.0,Cropland,exact_year,traindev,61_52,4.0,True,,1.0
P_286,64.1446,45.2494,2017.0,KAZ,3.0,Grassland,exact_year,traindev,61_52,4.0,True,,1.0
P_287,64.1417,45.253,2017.0,KAZ,3.0,Grassland,exact_year,traindev,61_52,4.0,True,,1.0
P_288,64.1377,45.2514,2017.0,KAZ,3.0,Grassland,exact_year,traindev,61_52,4.0,True,,1.0
P_289,64.4996,45.0276,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_290,64.4996,45.0315,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_291,64.4994,45.034,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_292,64.5049,45.0339,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_293,64.5047,45.0316,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_294,64.5046,45.0277,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_295,64.5086,45.0277,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_296,64.5085,45.0318,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_297,64.5084,45.034,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_298,64.6039,44.9387,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_299,64.5962,44.9377,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_300,65.593,44.9342,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_301,64.5902,44.9355,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_302,64.5894,44.9381,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_303,64.5916,44.9408,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_304,64.5973,44.9396,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_305,64.6018,44.9364,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_306,64.5977,44.932,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_307,65.0049,44.9785,2017.0,KAZ,3.0,Grassland,exact_year,traindev,62_51,0.0,True,,1.0
P_308,65.0042,44.9736,2017.0,KAZ,3.0,Grassland,exact_year,traindev,62_51,0.0,True,,1.0
P_309,65.0042,44.9709,2017.0,KAZ,3.0,Grassland,exact_year,traindev,62_51,0.0,True,,1.0
P_310,64.999,44.971,2017.0,KAZ,3.0,Grassland,exact_year,traindev,62_51,0.0,True,,1.0
P_311,64.9988,44.974,2017.0,KAZ,3.0,Grassland,exact_year,traindev,62_51,0.0,True,,1.0
P_312,64.9992,44.9784,2017.0,KAZ,3.0,Grassland,exact_year,traindev,62_51,0.0,True,,1.0
P_313,64.9928,44.9783,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_314,64.9926,44.9738,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_315,64.9925,44.971,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_316,64.8885,44.8766,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_317,64.8916,44.8734,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_318,64.884,44.874,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_319,64.8876,44.8709,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_320,64.8907,44.8682,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_321,64.8956,44.8705,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_322,64.9002,44.873,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_323,64.8962,44.8764,2017.0,KAZ,4.0,Shrubland,exact_year,traindev,62_51,0.0,True,,1.0
P_324,64.8928,44.8792,2017.0,KAZ,1.0,Cropland,exact_year,traindev,62_51,0.0,True,,1.0
P_325,66.9915,44.1186,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_326,66.9881,44.115,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_327,66.9833,44.1174,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_50,4.0,True,,1.0
P_328,66.9853,44.1118,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_329,66.9802,44.114,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_330,66.9747,44.1165,2017.0,KAZ,5.0,Bare,exact_year,traindev,64_50,4.0,True,,1.0
P_331,66.9784,44.1208,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_332,66.9809,44.1231,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_333,66.9863,44.1209,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_50,4.0,True,,1.0
P_334,67.1482,43.8746,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_335,67.1507,43.8708,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_50,4.0,True,,1.0
P_336,67.1463,43.8688,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_50,4.0,True,,1.0
P_337,67.1419,43.8669,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_50,4.0,True,,1.0
P_338,67.1385,43.8708,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_50,4.0,True,,1.0
P_339,67.1433,43.8728,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_50,4.0,True,,1.0
P_340,67.1353,43.8749,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_341,67.1399,43.8768,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P_342,67.1446,43.8789,2017.0,KAZ,3.0,Grassland,exact_year,traindev,64_50,4.0,True,,1.0
P-01,68.4112,42.775152,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-02,68.405739,42.773295,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-03,68.400859,42.771286,2017.0,KAZ,1.0,Cropland,exact_year,traindev,65_49,2.0,True,,1.0
P-04,68.403666,42.767307,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-05,68.409294,42.769672,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-06,68.414772,42.771678,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-07,68.407073,42.762899,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-08,68.413202,42.765489,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-09,68.418264,42.767676,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-10,68.47935,43.17821,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-100,69.318159,41.49691,2017.0,KAZ,1.0,Cropland,exact_year,traindev,66_48,3.0,True,,1.0
P-101,69.322208,41.500566,2017.0,KAZ,1.0,Cropland,exact_year,traindev,66_48,3.0,True,,1.0
P-102,69.313029,41.499631,2017.0,KAZ,1.0,Cropland,exact_year,traindev,66_48,3.0,True,,1.0
P-103,69.307849,41.502475,2017.0,KAZ,3.0,Grassland,exact_year,traindev,66_48,3.0,True,,1.0
P-104,69.312,41.50584,2017.0,KAZ,1.0,Cropland,exact_year,traindev,66_48,3.0,True,,1.0
P-105,69.31533,41.50949,2017.0,KAZ,1.0,Cropland,exact_year,traindev,66_48,3.0,True,,1.0
P-106,69.31591,41.50296,2017.0,KAZ,3.0,Grassland,exact_year,traindev,66_48,3.0,True,,1.0
P-107,69.325006,41.50405,2017.0,KAZ,1.0,Cropland,exact_year,traindev,66_48,3.0,True,,1.0
P-108,69.32031,41.50685,2017.0,KAZ,1.0,Cropland,exact_year,traindev,66_48,3.0,True,,1.0
P-109,69.497633,41.931706,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-11,68.48269,43.17616,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-110,69.495329,41.928319,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-111,69.490706,41.924606,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-112,69.50264,41.92884,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-113,69.49954,41.925499,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-114,69.49541,41.92182,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-115,69.486219,41.926875,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-116,69.489658,41.930823,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-117,69.492861,41.933978,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_48,4.0,True,,1.0
P-118,69.929035,42.143957,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-119,69.925695,42.140553,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-12,68.486926,43.173394,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-120,69.921821,42.136623,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-121,69.924377,42.146878,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-122,69.920858,42.14342,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-123,69.916865,42.13939,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-124,69.918794,42.149592,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-125,69.915619,42.146463,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-126,69.911536,42.142282,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-127,69.32439,43.459,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-128,69.31858,43.46134,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-129,69.31278,43.46296,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-13,68.47222,43.1712,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-130,69.30911,43.45901,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-131,69.30676,43.45519,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-132,69.3114,43.45388,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-133,69.31677,43.45179,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-134,69.32033,43.45509,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-135,69.31561,43.45808,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-136,69.6314,43.78615,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-137,69.62789,43.78196,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-138,69.62456,43.77864,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-139,69.61964,43.78058,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-14,68.47563,43.1692,2017.0,KAZ,3.0,Grassland,exact_year,test,66_50,-1.0,True,,1.0
P-140,69.62236,43.78447,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-141,69.62498,43.78817,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-142,69.61313,43.78252,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-143,69.61579,43.78621,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-144,69.61894,43.7902,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_50,2.0,True,,1.0
P-145,69.60666,42.96556,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-146,69.60098,42.96473,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-147,69.59578,42.96226,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-148,69.59953,42.95883,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-149,69.6035,42.95456,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-15,68.479521,43.172511,2017.0,KAZ,3.0,Grassland,exact_year,test,66_50,-1.0,True,,1.0
P-150,69.60987,42.95595,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-151,69.60603,42.96025,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-152,69.61173,42.96163,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-153,69.61663,42.95797,2017.0,KAZ,1.0,Cropland,exact_year,traindev,67_49,1.0,True,,1.0
P-154,69.25059,42.70182,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-155,69.256132,42.70164,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-156,69.26149,42.70112,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-157,69.260748,42.705168,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-158,69.255643,42.706197,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-159,69.2493,42.70693,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-16,68.47586,43.17451,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-160,69.26059,42.70852,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-161,69.255504,42.709833,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-162,69.24889,42.71088,2017.0,KAZ,4.0,Shrubland,exact_year,test,66_49,-1.0,True,,1.0
P-163,68.9740256,42.67862894,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-164,68.97619,42.67517,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-165,68.97194,42.67227,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-166,68.96749,42.66905,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-167,68.97934,42.672,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-168,68.96387,42.67334,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-169,68.9637809,42.674035,2017.0,KAZ,3.0,Grassland,exact_year,test,66_49,-1.0,True,,1.0
P-17,68.47925,43.1673,2017.0,KAZ,1.0,Cropland,exact_year,test,66_50,-1.0,True,,1.0
P-170,68.9751404,42.6768913,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-18,68.482602,43.170359,2017.0,KAZ,3.0,Grassland,exact_year,test,66_50,-1.0,True,,1.0
P-19,68.970075,42.915036,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-20,68.966918,42.912062,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-21,68.96247,42.9082,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-22,68.957426,42.911387,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-23,68.961563,42.915101,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-24,68.965192,42.918011,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-25,68.960251,42.920329,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-26,68.957329,42.917992,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-27,68.952796,42.91416,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-28,68.75846,42.88317,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-29,68.760454,42.878913,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-30,68.766041,42.880328,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-31,68.76393,42.88417,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
P-32,68.770769,42.885757,2017.0,KAZ,1.0,Cropland,exact_year,test,66_49,-1.0,True,,1.0
